Name,Builder,Order,Lumber Cost,Income Bonus,Location,Minimum Wave,Unit Level,Min Hit,Max Hit,Hit Points,Range,Melee / Ranged,Attack Speed,Attack Speed Class,Mana,Attack Type,Defense Type,Attack Effectiveness Order,Attack Strength,Attack Weakness,Defense Effectiveness Order,Defense Strength,Defense Weakness,Unit Description,Max Stock,Replenish Interval,Abilities,Ability Type,Ability Description,Has Aura,Can Buff,Can Debuff,Can Splash,Can Heal,Can Stun,Can Summon,Land/Flying,ID
militia,barracks,1,20,1,barracks,1,1,5,5,50,90,melee,1,fast,0,normal,light,medium;unarmored;light;heavy;fortified,medium,fortified;,normal;siege;chaos;magic;pierce,normal;siege,pierce,You get what you pay for.,3,5,null,null,null,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,land,OIhfzW0
bowman,barracks,2,40,2,barracks,1,2,8,10,70,400,ranged,0.9,very fast,0,pierce,light,light;unarmored;medium;heavy;fortified,light,fortified;,normal;siege;chaos;magic;pierce,normal;siege,pierce,Basic archer with a ranged attack.,3,10,null,null,null,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,land,Uhy9K6e
ghoul,barracks,3,40,2,barracks,1,2,10,14,105,90,melee,1,fast,0,normal,medium,medium;unarmored;light;heavy;fortified,medium,fortified;,magic;pierce;siege;chaos;normal,magic;,normal,Fearless melee attacker.,3,10,movement;,self buff;,Fast movement.;,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,land,z85o8Dy
warrior,barracks,4,60,2,barracks,1,3,21,23,155,90,melee,1.3,fast,0,normal,heavy,medium;unarmored;light;heavy;fortified,medium,fortified;,pierce;normal;siege;chaos;magic,pierce;,magic,Muscular green-skinned fighter.,3,10,maul,stun;,20% chance to stun target.;,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,land,5mmlMA6
whelp,barracks,5,100,5,barracks,1,5,37,43,260,90,melee,1.4,fast,0,pierce,light,light;unarmored;medium;heavy;fortified,light,fortified;,normal;siege;chaos;magic;pierce,normal;siege,pierce,Flying dragon filled with youthful energy.,3,10,null,null,null,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,flying,ztN13ac
hermit,barracks,6,100,4,barracks,1,5,25,27,230,250,ranged,1.1,fast,0,magic,light,heavy;light;unarmored;medium;fortifed,heavy,fortified;,normal;siege;chaos;magic;pierce,normal;siege,pierce,Dweller of nature - deals good magic damage.,3,10,healing aura;,aura - heal;,3HP per second bonus regeneration to nearby allies.;,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,land,syNKaz4
dino,barracks,7,120,6,barracks,1,6,31,35,275,250,ranged,1,fast,0,pierce,medium,light;unarmored;medium;heavy;fortified,light,fortified;,magic;pierce;siege;chaos;normal,magic;,normal,Slow moving unit with good piercing damage.,3,10,null,null,null,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,land,YBu3nfU
commander,barracks,8,120,5,barracks,1,6,30,33,260,300,ranged,1.2,fast,0,pierce,fortified,light;unarmored;medium;heavy;fortified,light,fortified;,pierce;magic;normal;chaos;siege,pierce;magic,siege,Mounted rider that slightly boosts the attack of allied units.,3,10,battle drums;,aura - damage;,4% bonus damage to nearby allies.;,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,land,eT8fkHn
furbolg,barracks,9,140,6,barracks,1,7,36,50,390,90,melee,1,fast,0,normal,medium,medium;unarmored;light;heavy;fortified,medium,fortified;,magic;pierce;siege;chaos;normal,magic;,normal,Wild beast - inflicts good damage.,3,10,resilience aura;,aura - armor;,3 bonus armor to nearby allies.;,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,land,c9orjWp
wyvern,barracks,10,180,9,barracks,1,9,41,47,390,300,ranged,1,fast,0,pierce,light,light;unarmored;medium;heavy;fortified,light,fortified;,normal;siege;chaos;magic;pierce,normal;siege,pierce,Flying unit that throws heavy bolts.,3,10,null,null,null,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,flying,dFi3OPs
chariot,barracks,11,200,10,barracks,1,10,43,47,260,700,ranged,1.8,average,0,siege,fortified,fortified;unarmored;light;medium;heavy,fortified,light;medium;heavy,pierce;magic;normal;chaos;siege,pierce;magic,siege,Long ranged catapult. Outranges almost all other units.,3,11,damage;,damage;,Double damage vs King.;,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,land,X11DlkM
blood orc,barracks,12,200,10,barracks,1,10,66,72,515,90,melee,1.2,fast,0,normal,heavy,medium;unarmored;light;heavy;fortified,medium,fortified;,pierce;normal;siege;chaos;magic,pierce;,magic,"Strong fighter, moves unusually fast.",3,12,movement;,self buff;,Fast movement.;,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,land,XU0DMG2
frost wolf,advanced barracks,13,240,12,advanced barracks,10,12,46,54,650,90,melee,0.7,very fast,0,normal,medium,medium;unarmored;light;heavy;fortified,medium,fortified;,magic;pierce;siege;chaos;normal,magic;,normal,Ferocious melee unit with normal damage.,2,13,frost aura;,aura - slow;,Slows nearby enemies.;,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,land,omDGUR2
ice troll,advanced barracks,14,240,12,advanced barracks,10,12,54,62,545,275,ranged,1.2,fast,0,pierce,medium,light;unarmored;medium;heavy;fortified,light,fortified;,magic;pierce;siege;chaos;normal,magic;,normal,Native of Northrend with a slowing ranged attack.,2,14,cold attack;,slow - movement;,Adds a cold effect to this unit's attacks that slows enemy units' movement speed for 4 seconds.;,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,land,nS3821C
warlock,advanced barracks,15,300,14,advanced barracks,10,15,59,67,585,400,ranged,1.25,fast,0,magic,light,heavy;light;unarmored;medium;fortifed,heavy,fortified;,normal;siege;chaos;magic;pierce,normal;siege,pierce,A magician with the fortitude of a warrior.,2,15,corruption;,debuff - armor;,Reduce an enemy's armor by 4.;,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,land,5okyfRk
