Name,Builder,Unit Tier,Gold Cost,Food Cost,Upgradeable,Max Upgrade Gold Cost,Total Food Cost with Upgrade,Base Unit Name,Upgraded Name,Base Min Hit,Base Max Hit,Attack Speed,Attack Speed Class,Range,Melee / Ranged,Hit Points,Mana,Attack Type,Defense Type,Attack Effectiveness Order,Attack Strength,Attack Weakness,Defense Effectiveness Order,Defense Strength,Defense Weakness,Abilities,Ability Type,Ability Description,Has Aura,Can Buff,Can Debuff,Can Splash,Can Heal,Can Stun,Can Summon,ID,Builder ID
tuskarr,artic,1,20,1,1,70,1,null,tuskarr spearman;,16,17,1.4,fast,100,melee,95,0,normal,medium,medium;unarmored;light;heavy;fortified,medium,fortified;,magic;pierce;siege;chaos;normal,magic;,normal;,null,null,null,0,0,0,0,0,0,0,HlwkOll,NEn20Rc
tuskarr spearman,artic,1,70,0,0,0,0,tuskarr;,null,16,17,0.6,very fast,450,ranged,280,0,pierce,medium,light;unarmored;medium;heavy;fortified,light,fortified;,magic;pierce;siege;chaos;normal,magic;,normal;,ice spear;,slow - movement;,Adds 12 cold damage to each attack slowing a target enemy unit's movement by 60%.;,0,0,1,0,0,0,0,wD7V92U,NEn20Rc
frost wolf,artic,2,45,1,1,135,2,null,pandaren;,21,22,1.5,average,100,melee,200,0,normal,medium,medium;unarmored;light;heavy;fortified,medium,fortified;,magic;pierce;siege;chaos;normal,magic;,normal;,bleeding;,slow - attack;,Activates when HP falls below 30%. Bleeding deals 5 damage per second and reduce attack speed of target by 25%.;,0,0,1,0,0,0,0,hjzuvcC,NEn20Rc
pandaren,artic,2,135,1,0,0,0,frost wolf;,null,49,52,0.6,very fast,100,melee,800,10,normal,medium,medium;unarmored;light;heavy;fortified,medium,fortified;,magic;pierce;siege;chaos;normal,magic;,normal;,frost nova;,splash;,Blasts enemy units with a wave of frost that deals 100 damage to the target and 10 nova damage.;,0,0,0,1,0,0,0,wcGsnlB,NEn20Rc
ice troll,artic,3,80,1,1,150,2,null,ice troll shaman;,36,37,0.8,very fast,300,ranged,335,15,magic,light,heavy;light;unarmored;medium;fortifed,heavy,fortified;,normal;siege;chaos;magic;pierce,normal;siege,pierce;,frost shield;,aura - shield;,An aura that gives friendly nearby units a damage shield which deals 4% of an enemy unit's melee attack damage back to it.;,1,1,0,0,0,0,0,AeL5o8c,NEn20Rc
ice troll shaman,artic,3,150,1,0,0,0,ice troll;,null,51,53,0.5,very fast,300,ranged,850,30,magic,medium,heavy;light;unarmored;medium;fortifed,heavy,fortified;,magic;pierce;siege;chaos;normal,magic;,normal;,ice shield;cold attack,aura - shield;slow,An aura that gives friendly nearby units a damage shield which deals 8% of an enemy unit's melee attack damage back to it.;Slows a target enemy unit's attack rate by 15% and movement speed by 50%.,1,1,1,0,0,0,0,Co2Pvft,NEn20Rc
polar bear,artic,4,130,1,1,170,3,null,magnataur;,45,47,0.8,very fast,100,melee,600,0,normal,medium,medium;unarmored;light;heavy;fortified,medium,fortified;,magic;pierce;siege;chaos;normal,magic;,normal;,frost aura;bash,aura - slow;stun,This aura will slow nearby enemies' movement speed.;Each attack has a 25% chance to deal 25 bonus damage and stun for 1 second.,1,0,1,0,0,1,0,pJKBGpx,NEn20Rc
magnataur,artic,4,170,2,0,0,0,polar bear;,null,115,118,1.1,fast,180,melee,330,0,siege,medium,fortified;unarmored;light;medium;heavy,fortified,light;medium;heavy,magic;pierce;siege;chaos;normal,magic;,normal;,frost aura;critical strike,aura - slow;damage,This aura will slow nearby enemies' movement speed.;Gives a 100% chance to do 1.4 times normal damage on an attack.,1,0,1,0,0,0,0,zICDyyE,NEn20Rc
wandigoo,artic,5,180,1,1,250,3,null,ancient wandigoo;,90,100,1.2,fast,180,melee,750,0,normal,heavy,medium;unarmored;light;heavy;fortified,medium,fortified;,pierce;normal;siege;chaos;magic,pierce;,magic;,evasion;,self buff - evade;,Gives a 7% chance to avoid an attack.;,0,0,0,0,0,0,0,6sHLWe3,NEn20Rc
ancient wandigoo,artic,5,250,2,0,0,0,wandigoo;,null,173,187,0.9,very fast,180,melee,1770,10,normal,heavy,medium;unarmored;light;heavy;fortified,medium,fortified;,pierce;normal;siege;chaos;magic,pierce;,magic;,evasion;,self buff - evade;,Gives a 12% chance to avoid an attack.;,0,0,0,0,0,0,0,NnbPXnh,NEn20Rc
young frost dragon,artic,6,285,2,1,340,4,null,azure dragon;,140,145,1.2,fast,300,ranged,1360,10,magic,unarmored,heavy;light;unarmored;medium;fortifed,heavy,fortified;,all;,all;,all;,breath of frost;,splash;,Breathes a cone of frost at enemy units that deals 11 initial damage and 5 damage per second over 6 seconds.;,0,0,0,1,0,0,0,eyzsJ2Q,NEn20Rc
azure dragon,artic,6,340,2,0,0,0,young frost dragon;,null,232,247,1.3,fast,360,ranged,2195,0,magic,unarmored,heavy;light;unarmored;medium;fortifed,heavy,fortified;,all;,all;,all;,azure's breath;azure's armor,splash; self buff - armor & slow,Attacks deal small splash damage to both ground and air units.;Gives +3 armor and slows units who attack it.;,0,0,0,1,0,0,0,Ejyp2fJ,NEn20Rc
gnoll warrior,beast,1,10,1,1,80,1,null,gnoll savage;,6,8,1.2,fast,100,melee,60,0,normal,light,medium;unarmored;light;heavy;fortified,medium,fortified;,normal;siege;chaos;magic;pierce,siege;,pierce;,gnoll poison;,slow;,A poison attack that slows the target enemy's movement by 50% and attack by 25% for 4 seconds.;,0,0,1,0,0,0,0,M8Iqjs1,tPWh9B9
gnoll savage,beast,1,80,0,0,0,0,gnoll warrior;,null,34,38,1,fast,100,melee,430,0,normal,light,medium;unarmored;light;heavy;fortified,medium,fortified;,normal;siege;chaos;magic;pierce,siege;,pierce;,deadly poison;,slow;,A poison attack that deals 6 damage per second and slows the target enemy's movement by 70% and attack by 25% for 5 seconds.;,0,0,1,0,0,0,0,FoAqZqH,tPWh9B9
ogre basher,beast,2,30,1,1,105,1,null,ogre pulverizer;,11,13,2,slow,100,melee,175,0,siege,heavy,fortified;unarmored;light;medium;heavy,fortified,light;medium;heavy,pierce;normal;siege;chaos;magic,pierce;,magic;,club smash;,stun;,Each attack has a 25% chance to deal 20 bonus damage and stun for 1.5 seconds. Stun is reduced greatly on bosses.;,0,0,0,0,0,1,0,QD3NN6S,tPWh9B9
ogre pulverizer,beast,2,105,0,0,0,0,ogre basher;,null,41,61,1,fast,100,melee,630,0,siege,heavy,fortified;unarmored;light;medium;heavy,fortified,light;medium;heavy,pierce;normal;siege;chaos;magic,pierce;,magic;,knock out;,stun;,Each attack has a 35% chance to deal 45 bonus damage and stun for 2 seconds. Stun is reduced greatly on bosses.;,0,0,0,0,0,1,0,RFumpSY,tPWh9B9
harpy,beast,3,70,1,1,125,1,null,medusa;,25,28,1.1,fast,300,ranged,325,0,magic,light,heavy;light;unarmored;medium;fortifed,heavy,fortified;,normal;siege;chaos;magic;pierce,normal;siege,pierce;,envenom;,slow;,Deal 3 damage per second and slow movement by 25% and attack by 15% for 5 seconds.;,0,0,1,0,0,0,0,2ThLpJK,tPWh9B9
medusa,beast,3,125,0,0,0,0,harpy;,null,56,63,1,fast,300,ranged,820,0,magic,light,heavy;light;unarmored;medium;fortifed,heavy,fortified;,normal;siege;chaos;magic;pierce,normal;siege,pierce;,enchanted poison;,slow;,Poisonous barbs deal 11 damage per second and slow movement by 35% and attack by 25% for 5 seconds.;,0,0,1,0,0,0,0,P1sGRUZ,tPWh9B9
troll fighter,beast,4,105,1,1,145,2,null,troll champion;,63,72,1.5,average,425,ranged,470,0,normal,medium,medium;unarmored;light;heavy;fortified,medium,fortified;,magic;pierce;siege;chaos;normal,magic;,normal;,null,null,null,0,0,0,0,0,0,0,We0KDzo,tPWh9B9
troll champion,beast,4,145,1,0,0,0,troll fighter;,null,105,117,1.5,average,425,ranged,810,0,normal,medium,medium;unarmored;light;heavy;fortified,medium,fortified;,magic;pierce;siege;chaos;normal,magic;,normal;,adrenaline rush;,aura - speed;,Boosts movement speed and attack speed of friendly units by 8%.;,1,1,0,0,0,0,0,7wyOaMU,tPWh9B9
grizzly,beast,5,180,1,1,205,2,null,greymane;,99,115,1.2,fast,100,melee,925,0,siege,heavy,fortified;unarmored;light;medium;heavy,fortified,light;medium;heavy,pierce;normal;siege;chaos;magic,pierce;,magic;,null,null,null,0,0,0,0,0,0,0,skBSA6E,tPWh9B9
greymane,beast,5,205,1,0,0,0,grizzly;,null,142,168,0.8,very fast,100,melee,1585,25,siege,heavy,fortified;unarmored;light;medium;heavy,fortified,light;medium;heavy,pierce;normal;siege;chaos;magic,pierce;,magic;,battle cry;,self buff;,Bear gets pumped up! Adds 20% bonus damage and 5 armor for 25 seconds.;,0,0,0,0,0,0,0,BDscpoR,tPWh9B9
spawn of dragon,beast,6,265,2,1,320,4,null,dragon aspect;,141,159,1.5,average,100,melee,1360,0,normal,heavy,medium;unarmored;light;heavy;fortified,medium,fortified;,pierce;normal;siege;chaos;magic,pierce;,magic;,circle slash;,splash - ground;,Attacks deal very small splash damage to land units.;,0,0,0,1,0,0,0,CEP1Ncr,tPWh9B9
dragon aspect,beast,6,320,2,0,0,0,spawn of dragon;,null,232,247,1.3,fast,350,ranged,2195,0,normal,heavy,medium;unarmored;light;heavy;fortified,medium,fortified;,pierce;normal;siege;chaos;magic,pierce;,magic;,whitefire;,splash;,Attacks deal small splash damage to both ground and air units.;,0,0,0,1,0,0,0,8tl3azr,tPWh9B9
goblin scientist,demi-human,1,20,1,1,50,1,null,dwarven engineer;,10,11,1,fast,400,ranged,95,0,siege,light,fortified;unarmored;light;medium;heavy,fortified,light;medium;heavy,normal;siege;chaos;magic;pierce,normal;siege,pierce;,null,null,null,0,0,0,0,0,0,0,IE6uXLE,SiWqdLo
